Wavelength (nm),6803_P,7942_P,7120_P,cc124_P,Arabidopsis_P,Phaeodactylum_P,Symbiodinium_P,R. palustris_P,Sphingomonas,E. coli mScarlett,B. subtilis mTurqouise,V. natriegens sfGFP
643,0.128,0.149,0.247,0.155,0.06,0.178,0.127,0.083,0.108,0.185,0.138,0.145
644,0.127,0.148,0.246,0.156,0.06,0.178,0.127,0.082,0.108,0.185,0.137,0.145
645,0.127,0.147,0.246,0.157,0.061,0.177,0.127,0.082,0.107,0.185,0.137,0.144
646,0.126,0.145,0.245,0.157,0.062,0.177,0.127,0.082,0.107,0.184,0.137,0.144
647,0.125,0.144,0.245,0.158,0.062,0.177,0.127,0.082,0.107,0.184,0.136,0.143
648,0.125,0.143,0.244,0.159,0.063,0.176,0.127,0.081,0.106,0.183,0.136,0.143
649,0.124,0.142,0.243,0.161,0.064,0.176,0.128,0.081,0.106,0.183,0.136,0.143
650,0.123,0.14,0.243,0.162,0.066,0.176,0.128,0.081,0.106,0.182,0.135,0.142
651,0.123,0.139,0.242,0.164,0.067,0.175,0.128,0.081,0.105,0.182,0.135,0.142
652,0.122,0.138,0.242,0.165,0.068,0.175,0.128,0.08,0.105,0.181,0.134,0.141
653,0.121,0.136,0.241,0.166,0.069,0.174,0.128,0.08,0.105,0.181,0.134,0.141
654,0.121,0.135,0.241,0.168,0.07,0.174,0.128,0.08,0.105,0.181,0.134,0.141
655,0.12,0.134,0.241,0.169,0.07,0.174,0.128,0.08,0.104,0.18,0.133,0.14
656,0.12,0.133,0.24,0.17,0.071,0.173,0.128,0.079,0.104,0.18,0.133,0.14
657,0.119,0.132,0.24,0.17,0.071,0.173,0.128,0.079,0.103,0.179,0.133,0.14
658,0.119,0.131,0.24,0.171,0.072,0.173,0.128,0.079,0.103,0.179,0.132,0.139
659,0.119,0.13,0.239,0.171,0.072,0.173,0.129,0.079,0.103,0.178,0.132,0.139
660,0.118,0.129,0.239,0.171,0.073,0.173,0.129,0.078,0.103,0.178,0.132,0.139
661,0.118,0.128,0.239,0.171,0.074,0.173,0.129,0.078,0.102,0.178,0.131,0.138
662,0.118,0.128,0.239,0.171,0.075,0.173,0.129,0.078,0.102,0.177,0.131,0.138
663,0.118,0.128,0.238,0.172,0.076,0.173,0.13,0.078,0.102,0.177,0.13,0.137
664,0.118,0.128,0.238,0.172,0.077,0.173,0.131,0.077,0.101,0.176,0.13,0.137
665,0.118,0.128,0.238,0.174,0.079,0.173,0.132,0.077,0.101,0.176,0.13,0.137
666,0.119,0.128,0.238,0.175,0.081,0.174,0.133,0.077,0.101,0.176,0.13,0.136
667,0.119,0.129,0.238,0.176,0.084,0.175,0.133,0.077,0.101,0.175,0.129,0.136
668,0.12,0.13,0.238,0.178,0.086,0.175,0.134,0.076,0.1,0.175,0.129,0.136
669,0.122,0.131,0.238,0.18,0.089,0.176,0.135,0.076,0.1,0.175,0.128,0.135
670,0.123,0.132,0.238,0.182,0.092,0.177,0.136,0.076,0.1,0.174,0.128,0.135
671,0.124,0.134,0.238,0.184,0.095,0.179,0.137,0.076,0.099,0.174,0.128,0.134
672,0.126,0.135,0.239,0.187,0.098,0.18,0.138,0.075,0.099,0.173,0.128,0.134
673,0.128,0.136,0.239,0.189,0.101,0.182,0.138,0.075,0.099,0.173,0.127,0.134
674,0.129,0.137,0.24,0.191,0.104,0.183,0.139,0.075,0.099,0.173,0.127,0.134
675,0.131,0.138,0.24,0.192,0.107,0.185,0.14,0.075,0.098,0.172,0.126,0.133
676,0.132,0.14,0.241,0.194,0.11,0.186,0.14,0.075,0.098,0.172,0.126,0.133
677,0.134,0.14,0.241,0.196,0.112,0.188,0.14,0.074,0.098,0.171,0.126,0.132
678,0.135,0.141,0.242,0.197,0.114,0.189,0.14,0.074,0.097,0.171,0.125,0.132
679,0.136,0.142,0.243,0.199,0.116,0.19,0.141,0.074,0.097,0.171,0.125,0.132
680,0.137,0.142,0.243,0.2,0.118,0.191,0.14,0.074,0.097,0.17,0.125,0.131
681,0.137,0.142,0.244,0.201,0.12,0.192,0.14,0.073,0.096,0.17,0.124,0.131
682,0.137,0.142,0.245,0.203,0.121,0.192,0.14,0.073,0.096,0.169,0.124,0.131
683,0.137,0.142,0.245,0.204,0.122,0.192,0.14,0.073,0.096,0.169,0.124,0.13
684,0.136,0.142,0.246,0.205,0.123,0.192,0.139,0.073,0.096,0.169,0.123,0.13
685,0.136,0.141,0.246,0.206,0.123,0.192,0.138,0.073,0.095,0.168,0.123,0.13
686,0.135,0.141,0.247,0.207,0.122,0.191,0.138,0.072,0.095,0.168,0.123,0.129
687,0.135,0.14,0.247,0.207,0.12,0.191,0.137,0.072,0.095,0.168,0.123,0.129
688,0.134,0.139,0.246,0.206,0.117,0.19,0.136,0.072,0.094,0.167,0.122,0.129
689,0.133,0.138,0.246,0.206,0.113,0.19,0.135,0.072,0.094,0.167,0.122,0.128
690,0.132,0.137,0.245,0.204,0.108,0.189,0.134,0.072,0.094,0.166,0.121,0.128
691,0.13,0.135,0.245,0.202,0.103,0.188,0.133,0.071,0.094,0.166,0.121,0.128
692,0.129,0.133,0.243,0.2,0.098,0.187,0.131,0.071,0.094,0.166,0.121,0.127
693,0.127,0.131,0.242,0.197,0.092,0.187,0.13,0.071,0.093,0.165,0.121,0.127
694,0.125,0.129,0.241,0.194,0.087,0.185,0.129,0.071,0.093,0.165,0.12,0.127
695,0.123,0.127,0.239,0.191,0.083,0.184,0.127,0.071,0.093,0.165,0.12,0.126
696,0.121,0.125,0.238,0.188,0.078,0.183,0.126,0.07,0.092,0.164,0.12,0.126
697,0.12,0.123,0.236,0.185,0.075,0.182,0.125,0.07,0.092,0.164,0.119,0.126
698,0.118,0.121,0.234,0.183,0.071,0.181,0.125,0.07,0.092,0.163,0.119,0.125
699,0.117,0.119,0.233,0.18,0.068,0.18,0.124,0.07,0.092,0.163,0.119,0.125
700,0.115,0.118,0.231,0.178,0.066,0.179,0.123,0.07,0.091,0.163,0.118,0.125
701,0.114,0.116,0.23,0.176,0.063,0.178,0.123,0.07,0.091,0.162,0.118,0.125
702,0.113,0.115,0.228,0.174,0.061,0.177,0.122,0.069,0.091,0.162,0.118,0.124
703,0.112,0.114,0.226,0.172,0.059,0.177,0.122,0.069,0.09,0.162,0.117,0.124
704,0.111,0.113,0.225,0.17,0.058,0.176,0.122,0.069,0.09,0.161,0.117,0.123
705,0.11,0.111,0.224,0.169,0.056,0.175,0.121,0.069,0.09,0.161,0.117,0.123
706,0.109,0.11,0.222,0.167,0.055,0.174,0.121,0.068,0.09,0.161,0.116,0.123
707,0.108,0.109,0.221,0.166,0.053,0.174,0.121,0.068,0.089,0.16,0.116,0.122
708,0.107,0.109,0.22,0.165,0.052,0.173,0.121,0.068,0.089,0.16,0.116,0.122
709,0.107,0.108,0.219,0.163,0.051,0.173,0.121,0.068,0.089,0.159,0.116,0.122
710,0.106,0.107,0.218,0.163,0.051,0.172,0.12,0.068,0.089,0.159,0.115,0.122
711,0.105,0.106,0.217,0.162,0.05,0.172,0.12,0.068,0.089,0.159,0.115,0.121
712,0.105,0.106,0.216,0.161,0.049,0.172,0.12,0.068,0.088,0.158,0.115,0.121
713,0.104,0.105,0.216,0.16,0.048,0.171,0.12,0.068,0.088,0.158,0.115,0.121
714,0.103,0.104,0.215,0.159,0.048,0.171,0.12,0.067,0.088,0.158,0.114,0.12
715,0.103,0.104,0.214,0.158,0.047,0.17,0.12,0.067,0.087,0.157,0.114,0.12
716,0.102,0.103,0.213,0.158,0.046,0.17,0.12,0.067,0.087,0.157,0.113,0.12
717,0.102,0.103,0.212,0.157,0.046,0.169,0.12,0.067,0.087,0.157,0.113,0.119
718,0.101,0.102,0.212,0.157,0.045,0.169,0.12,0.067,0.087,0.156,0.113,0.119
719,0.101,0.102,0.211,0.156,0.045,0.169,0.12,0.067,0.087,0.156,0.113,0.119
720,0.1,0.101,0.21,0.155,0.044,0.169,0.12,0.066,0.086,0.156,0.112,0.119
721,0.1,0.101,0.21,0.155,0.044,0.168,0.12,0.066,0.086,0.155,0.112,0.118
722,0.099,0.1,0.209,0.154,0.044,0.168,0.12,0.066,0.086,0.155,0.112,0.118
723,0.099,0.1,0.209,0.154,0.043,0.168,0.12,0.066,0.086,0.155,0.111,0.118
724,0.098,0.099,0.208,0.154,0.043,0.168,0.12,0.066,0.085,0.154,0.111,0.117
725,0.098,0.099,0.208,0.153,0.043,0.167,0.12,0.066,0.085,0.154,0.111,0.117
726,0.098,0.098,0.207,0.153,0.042,0.167,0.12,0.065,0.085,0.153,0.111,0.117
727,0.097,0.098,0.207,0.152,0.042,0.167,0.12,0.065,0.085,0.153,0.11,0.117
728,0.097,0.098,0.206,0.152,0.042,0.167,0.12,0.065,0.084,0.153,0.11,0.116
729,0.096,0.097,0.206,0.152,0.041,0.166,0.12,0.065,0.084,0.152,0.11,0.116
730,0.096,0.097,0.205,0.151,0.041,0.166,0.12,0.065,0.084,0.152,0.109,0.116
731,0.096,0.097,0.205,0.151,0.041,0.166,0.12,0.065,0.084,0.152,0.109,0.115
732,0.095,0.096,0.204,0.151,0.041,0.166,0.12,0.065,0.083,0.151,0.109,0.115
733,0.095,0.096,0.204,0.15,0.04,0.165,0.12,0.064,0.083,0.151,0.109,0.115
734,0.095,0.096,0.204,0.15,0.04,0.165,0.12,0.064,0.083,0.151,0.109,0.115
735,0.094,0.095,0.203,0.15,0.04,0.165,0.12,0.064,0.083,0.151,0.108,0.114
736,0.094,0.095,0.203,0.15,0.04,0.165,0.12,0.064,0.083,0.15,0.108,0.114
737,0.094,0.095,0.203,0.15,0.04,0.165,0.12,0.064,0.083,0.15,0.108,0.114
738,0.094,0.094,0.202,0.149,0.04,0.164,0.12,0.064,0.082,0.15,0.108,0.113
739,0.093,0.094,0.202,0.149,0.039,0.164,0.12,0.064,0.082,0.149,0.107,0.113
740,0.093,0.094,0.202,0.149,0.039,0.164,0.12,0.063,0.082,0.149,0.107,0.113
741,0.093,0.093,0.201,0.149,0.039,0.164,0.12,0.063,0.082,0.149,0.107,0.113
742,0.092,0.093,0.201,0.149,0.039,0.164,0.12,0.063,0.081,0.148,0.106,0.112
743,0.092,0.093,0.201,0.148,0.038,0.163,0.12,0.063,0.081,0.148,0.106,0.112
744,0.092,0.092,0.201,0.148,0.038,0.163,0.12,0.063,0.081,0.148,0.106,0.112
745,0.091,0.092,0.2,0.148,0.038,0.163,0.12,0.063,0.081,0.147,0.106,0.111
746,0.091,0.092,0.2,0.148,0.038,0.163,0.12,0.062,0.08,0.147,0.105,0.111
747,0.091,0.091,0.2,0.148,0.038,0.163,0.12,0.062,0.08,0.147,0.105,0.111
748,0.09,0.091,0.2,0.147,0.038,0.162,0.12,0.062,0.08,0.146,0.105,0.111
749,0.09,0.091,0.199,0.147,0.038,0.162,0.12,0.062,0.08,0.146,0.104,0.11
750,0.09,0.091,0.199,0.147,0.037,0.162,0.12,0.062,0.079,0.146,0.104,0.11
751,0.09,0.09,0.199,0.147,0.037,0.162,0.12,0.062,0.079,0.145,0.104,0.11
752,0.089,0.09,0.198,0.147,0.037,0.162,0.12,0.062,0.079,0.145,0.104,0.11
753,0.089,0.09,0.198,0.147,0.037,0.162,0.12,0.062,0.079,0.145,0.103,0.109
754,0.089,0.089,0.198,0.147,0.037,0.161,0.12,0.061,0.079,0.144,0.103,0.109
755,0.089,0.089,0.198,0.146,0.037,0.161,0.12,0.061,0.079,0.144,0.103,0.109
756,0.088,0.089,0.198,0.146,0.037,0.161,0.12,0.061,0.078,0.144,0.103,0.109
757,0.088,0.089,0.198,0.146,0.037,0.161,0.12,0.061,0.078,0.144,0.103,0.108
758,0.088,0.089,0.197,0.146,0.037,0.161,0.12,0.061,0.078,0.143,0.102,0.108
759,0.088,0.088,0.197,0.146,0.037,0.161,0.12,0.061,0.078,0.143,0.102,0.108
760,0.087,0.088,0.197,0.146,0.036,0.16,0.12,0.061,0.077,0.143,0.102,0.107
761,0.087,0.088,0.197,0.146,0.036,0.16,0.12,0.061,0.077,0.142,0.101,0.107
762,0.087,0.088,0.197,0.146,0.036,0.16,0.12,0.061,0.077,0.142,0.101,0.107
763,0.087,0.087,0.196,0.146,0.036,0.16,0.12,0.061,0.077,0.142,0.101,0.107
764,0.086,0.087,0.196,0.145,0.036,0.16,0.12,0.061,0.077,0.142,0.101,0.107
765,0.086,0.087,0.196,0.145,0.036,0.16,0.12,0.061,0.077,0.141,0.101,0.106
766,0.086,0.087,0.196,0.145,0.036,0.16,0.12,0.06,0.076,0.141,0.1,0.106
767,0.086,0.086,0.195,0.145,0.036,0.159,0.12,0.06,0.076,0.141,0.1,0.106
768,0.085,0.086,0.195,0.145,0.036,0.159,0.12,0.06,0.076,0.14,0.1,0.105
769,0.085,0.086,0.195,0.145,0.036,0.159,0.12,0.06,0.076,0.14,0.099,0.105
770,0.085,0.086,0.195,0.145,0.036,0.159,0.12,0.06,0.076,0.14,0.099,0.105
771,0.085,0.085,0.195,0.145,0.036,0.159,0.12,0.06,0.075,0.139,0.099,0.105
772,0.085,0.085,0.195,0.144,0.035,0.159,0.12,0.06,0.075,0.139,0.099,0.104
773,0.084,0.085,0.195,0.144,0.035,0.158,0.12,0.06,0.075,0.139,0.098,0.104
774,0.084,0.085,0.194,0.144,0.035,0.158,0.12,0.06,0.075,0.138,0.098,0.104
775,0.084,0.084,0.194,0.144,0.035,0.158,0.12,0.06,0.074,0.138,0.098,0.104
776,0.084,0.084,0.194,0.144,0.035,0.158,0.12,0.06,0.074,0.138,0.098,0.103
777,0.083,0.084,0.194,0.144,0.035,0.158,0.12,0.059,0.074,0.138,0.098,0.103
778,0.083,0.084,0.194,0.144,0.035,0.158,0.12,0.06,0.074,0.137,0.097,0.103
779,0.083,0.083,0.194,0.144,0.035,0.158,0.12,0.059,0.074,0.137,0.097,0.103
780,0.083,0.083,0.193,0.144,0.035,0.157,0.12,0.059,0.073,0.137,0.097,0.102
781,0.083,0.083,0.193,0.144,0.035,0.157,0.12,0.059,0.073,0.136,0.097,0.102
782,0.082,0.083,0.193,0.143,0.035,0.157,0.12,0.059,0.073,0.136,0.096,0.102
783,0.082,0.083,0.193,0.144,0.035,0.157,0.121,0.059,0.073,0.136,0.096,0.102
784,0.082,0.082,0.193,0.143,0.034,0.157,0.12,0.059,0.073,0.135,0.096,0.102
785,0.082,0.082,0.192,0.143,0.034,0.157,0.12,0.059,0.073,0.135,0.096,0.101
786,0.081,0.082,0.192,0.143,0.034,0.156,0.12,0.059,0.072,0.135,0.095,0.101
787,0.081,0.082,0.192,0.143,0.034,0.156,0.12,0.06,0.072,0.135,0.095,0.101
788,0.081,0.081,0.192,0.143,0.034,0.156,0.12,0.06,0.072,0.134,0.095,0.101
789,0.081,0.081,0.192,0.143,0.034,0.156,0.12,0.06,0.072,0.134,0.095,0.1
790,0.081,0.081,0.192,0.143,0.034,0.156,0.12,0.06,0.072,0.134,0.095,0.1
791,0.08,0.081,0.192,0.143,0.034,0.156,0.12,0.061,0.071,0.133,0.094,0.1
792,0.08,0.081,0.191,0.143,0.034,0.155,0.12,0.061,0.071,0.133,0.094,0.1
793,0.08,0.08,0.191,0.143,0.034,0.155,0.12,0.062,0.071,0.133,0.094,0.099
794,0.08,0.08,0.191,0.143,0.034,0.155,0.12,0.063,0.071,0.133,0.094,0.099
795,0.08,0.08,0.191,0.143,0.034,0.155,0.12,0.063,0.071,0.133,0.093,0.099
796,0.08,0.08,0.191,0.143,0.034,0.155,0.12,0.064,0.071,0.132,0.093,0.099
797,0.079,0.079,0.191,0.142,0.034,0.155,0.12,0.065,0.07,0.132,0.093,0.098
798,0.079,0.079,0.191,0.142,0.033,0.155,0.12,0.066,0.07,0.132,0.093,0.098
799,0.079,0.079,0.19,0.142,0.033,0.154,0.12,0.068,0.07,0.132,0.093,0.098
800,0.079,0.079,0.19,0.142,0.033,0.154,0.12,0.069,0.07,0.131,0.092,0.098
801,0.079,0.079,0.19,0.142,0.033,0.154,0.12,0.07,0.07,0.131,0.092,0.098
802,0.078,0.079,0.19,0.142,0.033,0.154,0.12,0.072,0.07,0.131,0.092,0.097
803,0.078,0.078,0.19,0.142,0.033,0.154,0.12,0.074,0.069,0.13,0.092,0.097
804,0.078,0.078,0.19,0.142,0.033,0.154,0.12,0.076,0.069,0.13,0.092,0.097
805,0.078,0.078,0.189,0.142,0.033,0.154,0.12,0.077,0.069,0.13,0.091,0.097
806,0.078,0.078,0.189,0.142,0.033,0.154,0.121,0.079,0.069,0.13,0.091,0.096
807,0.077,0.078,0.189,0.142,0.033,0.153,0.121,0.08,0.069,0.129,0.091,0.096
808,0.077,0.077,0.189,0.142,0.033,0.153,0.121,0.082,0.068,0.129,0.091,0.096
809,0.077,0.077,0.189,0.142,0.033,0.153,0.121,0.083,0.068,0.129,0.09,0.096
810,0.077,0.077,0.189,0.141,0.033,0.153,0.121,0.083,0.068,0.129,0.09,0.095
811,0.077,0.077,0.189,0.141,0.033,0.153,0.121,0.083,0.068,0.128,0.09,0.095
812,0.076,0.077,0.189,0.142,0.033,0.153,0.121,0.082,0.068,0.128,0.09,0.095
813,0.076,0.077,0.189,0.141,0.033,0.153,0.121,0.081,0.068,0.128,0.09,0.095
814,0.076,0.076,0.188,0.141,0.033,0.152,0.121,0.079,0.067,0.128,0.089,0.095
815,0.076,0.076,0.188,0.141,0.033,0.152,0.121,0.077,0.067,0.127,0.089,0.095
816,0.076,0.076,0.188,0.141,0.032,0.152,0.121,0.075,0.067,0.127,0.089,0.094
817,0.076,0.076,0.188,0.141,0.032,0.152,0.121,0.073,0.067,0.127,0.089,0.094
818,0.075,0.076,0.188,0.141,0.032,0.152,0.121,0.071,0.067,0.127,0.089,0.094
819,0.075,0.075,0.188,0.141,0.032,0.152,0.121,0.069,0.067,0.126,0.088,0.094
820,0.075,0.075,0.187,0.141,0.032,0.152,0.121,0.067,0.066,0.126,0.088,0.093
821,0.075,0.075,0.187,0.141,0.032,0.151,0.121,0.066,0.066,0.126,0.088,0.093
822,0.075,0.075,0.187,0.141,0.032,0.151,0.121,0.064,0.066,0.126,0.088,0.093
823,0.075,0.075,0.187,0.141,0.032,0.151,0.121,0.063,0.066,0.125,0.088,0.093
824,0.074,0.075,0.187,0.141,0.032,0.151,0.121,0.062,0.066,0.125,0.087,0.092
825,0.074,0.074,0.187,0.141,0.032,0.151,0.121,0.061,0.066,0.125,0.087,0.092
826,0.074,0.074,0.186,0.141,0.032,0.151,0.121,0.061,0.066,0.124,0.087,0.092
827,0.074,0.074,0.186,0.141,0.032,0.151,0.121,0.06,0.065,0.124,0.087,0.092
828,0.074,0.074,0.186,0.141,0.032,0.15,0.121,0.06,0.065,0.124,0.087,0.092
829,0.074,0.074,0.186,0.141,0.032,0.15,0.121,0.059,0.065,0.124,0.086,0.092
830,0.073,0.074,0.186,0.141,0.032,0.15,0.121,0.059,0.065,0.124,0.086,0.091
831,0.073,0.073,0.186,0.141,0.032,0.15,0.121,0.059,0.065,0.123,0.086,0.091
832,0.073,0.073,0.186,0.141,0.031,0.15,0.121,0.058,0.065,0.123,0.086,0.091
833,0.073,0.073,0.185,0.141,0.031,0.15,0.121,0.058,0.064,0.123,0.086,0.091
834,0.073,0.073,0.185,0.141,0.031,0.15,0.121,0.058,0.064,0.122,0.085,0.09
835,0.072,0.073,0.185,0.141,0.031,0.149,0.121,0.058,0.064,0.122,0.085,0.09
836,0.072,0.073,0.185,0.141,0.031,0.149,0.121,0.058,0.064,0.122,0.085,0.09
837,0.072,0.072,0.185,0.141,0.031,0.149,0.121,0.058,0.064,0.122,0.085,0.09
838,0.072,0.072,0.185,0.141,0.031,0.149,0.121,0.059,0.064,0.122,0.085,0.09
839,0.072,0.072,0.185,0.141,0.031,0.149,0.121,0.059,0.064,0.121,0.084,0.09
840,0.072,0.072,0.185,0.14,0.031,0.149,0.121,0.059,0.063,0.121,0.084,0.089
841,0.071,0.072,0.185,0.14,0.031,0.149,0.121,0.06,0.063,0.121,0.084,0.089
842,0.071,0.071,0.184,0.14,0.031,0.148,0.121,0.06,0.063,0.12,0.084,0.089
843,0.071,0.071,0.184,0.14,0.031,0.148,0.121,0.06,0.063,0.12,0.084,0.089
844,0.071,0.071,0.184,0.14,0.031,0.148,0.121,0.061,0.063,0.12,0.084,0.089
845,0.071,0.071,0.184,0.14,0.031,0.148,0.121,0.062,0.063,0.12,0.083,0.088
846,0.071,0.071,0.184,0.14,0.031,0.148,0.121,0.062,0.062,0.12,0.083,0.088
847,0.071,0.071,0.184,0.14,0.031,0.148,0.121,0.063,0.062,0.119,0.083,0.088
848,0.07,0.07,0.184,0.14,0.031,0.148,0.121,0.064,0.062,0.119,0.083,0.088
849,0.07,0.07,0.183,0.14,0.031,0.147,0.121,0.065,0.062,0.119,0.083,0.087
850,0.07,0.07,0.183,0.14,0.031,0.147,0.121,0.066,0.062,0.119,0.082,0.087
851,0.07,0.07,0.183,0.14,0.031,0.147,0.121,0.067,0.062,0.118,0.082,0.087
852,0.07,0.07,0.183,0.139,0.03,0.147,0.121,0.068,0.061,0.118,0.082,0.087
853,0.07,0.07,0.183,0.139,0.03,0.147,0.121,0.069,0.061,0.118,0.082,0.087
854,0.069,0.069,0.183,0.139,0.03,0.147,0.121,0.071,0.061,0.118,0.082,0.087
855,0.069,0.069,0.182,0.139,0.03,0.146,0.121,0.072,0.061,0.117,0.081,0.086
856,0.069,0.069,0.182,0.139,0.03,0.146,0.121,0.074,0.061,0.117,0.081,0.086
857,0.069,0.069,0.182,0.139,0.03,0.146,0.121,0.075,0.061,0.117,0.081,0.086
858,0.069,0.069,0.182,0.139,0.03,0.146,0.121,0.077,0.061,0.117,0.081,0.086
859,0.069,0.069,0.182,0.139,0.03,0.146,0.121,0.079,0.061,0.117,0.081,0.086
860,0.069,0.069,0.182,0.139,0.03,0.146,0.121,0.08,0.06,0.116,0.081,0.085
861,0.068,0.069,0.182,0.139,0.03,0.146,0.121,0.082,0.06,0.116,0.081,0.085
862,0.068,0.068,0.182,0.139,0.03,0.146,0.121,0.083,0.06,0.116,0.08,0.085
863,0.068,0.068,0.182,0.139,0.03,0.145,0.121,0.084,0.06,0.116,0.08,0.085
864,0.068,0.068,0.182,0.139,0.03,0.145,0.121,0.085,0.06,0.115,0.08,0.085
865,0.068,0.068,0.182,0.14,0.03,0.145,0.121,0.086,0.06,0.115,0.08,0.085
866,0.068,0.068,0.181,0.139,0.03,0.145,0.121,0.087,0.059,0.115,0.079,0.084
867,0.067,0.067,0.181,0.139,0.03,0.145,0.121,0.087,0.059,0.114,0.079,0.084
868,0.067,0.067,0.181,0.139,0.03,0.145,0.121,0.088,0.059,0.114,0.079,0.084
869,0.067,0.067,0.181,0.139,0.03,0.145,0.121,0.088,0.059,0.114,0.079,0.084
870,0.067,0.067,0.181,0.139,0.03,0.144,0.121,0.088,0.059,0.114,0.079,0.084
871,0.067,0.067,0.181,0.139,0.03,0.144,0.121,0.088,0.059,0.114,0.079,0.083
872,0.067,0.067,0.181,0.139,0.029,0.144,0.121,0.087,0.059,0.113,0.078,0.083
873,0.067,0.067,0.181,0.139,0.029,0.144,0.121,0.087,0.059,0.113,0.078,0.083
874,0.066,0.067,0.181,0.139,0.029,0.144,0.121,0.087,0.058,0.113,0.078,0.083
875,0.066,0.066,0.18,0.139,0.029,0.144,0.121,0.087,0.058,0.113,0.078,0.083
876,0.066,0.066,0.18,0.139,0.029,0.144,0.121,0.087,0.058,0.113,0.078,0.083
877,0.066,0.066,0.18,0.139,0.029,0.143,0.121,0.086,0.058,0.112,0.078,0.082
878,0.066,0.066,0.18,0.139,0.029,0.143,0.121,0.086,0.058,0.112,0.077,0.082
879,0.066,0.066,0.18,0.139,0.029,0.143,0.121,0.086,0.058,0.112,0.077,0.082
880,0.066,0.066,0.18,0.139,0.029,0.143,0.121,0.085,0.058,0.112,0.077,0.082
881,0.065,0.065,0.179,0.139,0.029,0.143,0.121,0.085,0.057,0.111,0.077,0.082
882,0.065,0.065,0.179,0.139,0.029,0.143,0.121,0.084,0.057,0.111,0.077,0.081
883,0.065,0.065,0.179,0.139,0.029,0.143,0.121,0.084,0.057,0.111,0.077,0.081
884,0.065,0.065,0.179,0.139,0.029,0.142,0.121,0.084,0.057,0.111,0.076,0.081
885,0.065,0.065,0.179,0.139,0.029,0.142,0.121,0.083,0.057,0.11,0.076,0.081
886,0.065,0.065,0.179,0.139,0.029,0.142,0.121,0.082,0.057,0.11,0.076,0.081
887,0.065,0.065,0.179,0.139,0.029,0.142,0.121,0.082,0.057,0.11,0.076,0.081
888,0.065,0.064,0.179,0.139,0.029,0.142,0.121,0.081,0.056,0.11,0.076,0.08
889,0.064,0.064,0.178,0.138,0.029,0.142,0.121,0.08,0.056,0.109,0.076,0.08
890,0.064,0.064,0.178,0.138,0.029,0.142,0.121,0.08,0.056,0.109,0.075,0.08
891,0.064,0.064,0.178,0.138,0.029,0.141,0.121,0.079,0.056,0.109,0.075,0.08
892,0.064,0.064,0.178,0.138,0.029,0.141,0.121,0.078,0.056,0.109,0.075,0.08
893,0.064,0.064,0.178,0.138,0.029,0.141,0.121,0.077,0.056,0.109,0.075,0.08
894,0.064,0.064,0.178,0.138,0.029,0.141,0.121,0.076,0.056,0.108,0.075,0.079
895,0.064,0.064,0.178,0.138,0.029,0.141,0.121,0.075,0.056,0.108,0.075,0.079
896,0.063,0.063,0.178,0.138,0.028,0.141,0.121,0.074,0.055,0.108,0.074,0.079
897,0.063,0.063,0.178,0.138,0.028,0.141,0.121,0.073,0.055,0.108,0.074,0.079
898,0.063,0.063,0.177,0.138,0.028,0.14,0.121,0.071,0.055,0.107,0.074,0.079
899,0.063,0.063,0.177,0.138,0.028,0.14,0.121,0.07,0.055,0.107,0.074,0.079
900,0.063,0.063,0.177,0.138,0.028,0.14,0.121,0.069,0.055,0.107,0.074,0.078
901,0.063,0.063,0.177,0.138,0.028,0.14,0.121,0.068,0.055,0.107,0.074,0.078
902,0.063,0.063,0.177,0.138,0.028,0.14,0.121,0.067,0.055,0.107,0.073,0.078
903,0.062,0.062,0.177,0.138,0.028,0.14,0.121,0.066,0.054,0.106,0.073,0.078
904,0.062,0.062,0.177,0.138,0.028,0.139,0.121,0.065,0.054,0.106,0.073,0.078
905,0.062,0.062,0.177,0.138,0.028,0.139,0.121,0.063,0.054,0.106,0.073,0.078
906,0.062,0.062,0.177,0.138,0.028,0.139,0.121,0.062,0.054,0.106,0.073,0.077
907,0.062,0.062,0.176,0.138,0.028,0.139,0.121,0.061,0.054,0.105,0.073,0.077
908,0.062,0.062,0.176,0.138,0.028,0.139,0.121,0.06,0.054,0.105,0.072,0.077
909,0.062,0.062,0.176,0.138,0.028,0.139,0.121,0.059,0.054,0.105,0.072,0.077
910,0.062,0.061,0.176,0.138,0.028,0.139,0.121,0.058,0.054,0.105,0.072,0.077
911,0.061,0.061,0.176,0.138,0.028,0.139,0.121,0.057,0.053,0.105,0.072,0.076
912,0.061,0.061,0.176,0.138,0.028,0.138,0.121,0.057,0.053,0.104,0.072,0.076
913,0.061,0.061,0.175,0.138,0.028,0.138,0.121,0.056,0.053,0.104,0.072,0.076
914,0.061,0.061,0.175,0.138,0.028,0.138,0.121,0.055,0.053,0.104,0.072,0.076
915,0.061,0.061,0.175,0.138,0.028,0.138,0.121,0.054,0.053,0.104,0.071,0.076
916,0.061,0.061,0.175,0.138,0.028,0.138,0.121,0.054,0.053,0.104,0.071,0.076
917,0.061,0.061,0.175,0.138,0.027,0.138,0.121,0.053,0.053,0.103,0.071,0.075
918,0.06,0.06,0.175,0.138,0.027,0.138,0.121,0.052,0.052,0.103,0.071,0.075
919,0.06,0.06,0.175,0.138,0.027,0.137,0.121,0.051,0.052,0.103,0.071,0.075
