Wavelength (nm),6803_P,7942_P,7120_P,cc124_P,Arabidopsis_P,Phaeodactylum_P,Symbiodinium_P,R. palustris_P,Sphingomonas,E. coli mScarlett,B. subtilis mTurqouise,V. natriegens sfGFP
436,0.181,0.215,0.249,0.212,0.165,0.228,0.15,0.175,0.235,0.31,0.26,0.271
437,0.182,0.216,0.25,0.212,0.166,0.229,0.15,0.174,0.234,0.309,0.259,0.27
438,0.184,0.217,0.251,0.213,0.167,0.229,0.15,0.173,0.233,0.308,0.258,0.269
439,0.185,0.218,0.252,0.214,0.168,0.23,0.15,0.172,0.232,0.307,0.257,0.269
440,0.186,0.219,0.252,0.214,0.168,0.23,0.15,0.171,0.231,0.306,0.256,0.268
441,0.187,0.22,0.253,0.215,0.168,0.23,0.15,0.17,0.23,0.305,0.256,0.267
442,0.188,0.22,0.253,0.215,0.168,0.231,0.15,0.169,0.229,0.304,0.255,0.266
443,0.189,0.221,0.254,0.216,0.168,0.231,0.149,0.168,0.228,0.303,0.254,0.265
444,0.19,0.221,0.254,0.216,0.168,0.231,0.149,0.168,0.227,0.303,0.253,0.264
445,0.191,0.222,0.255,0.216,0.167,0.232,0.149,0.167,0.227,0.302,0.252,0.263
446,0.191,0.221,0.255,0.216,0.165,0.232,0.149,0.166,0.226,0.301,0.251,0.262
447,0.191,0.221,0.255,0.216,0.163,0.232,0.149,0.165,0.225,0.3,0.25,0.261
448,0.191,0.22,0.254,0.216,0.161,0.232,0.149,0.165,0.224,0.299,0.25,0.261
449,0.191,0.219,0.254,0.216,0.158,0.232,0.149,0.164,0.223,0.299,0.249,0.26
450,0.19,0.218,0.253,0.215,0.155,0.232,0.148,0.164,0.222,0.298,0.248,0.259
451,0.189,0.217,0.252,0.215,0.151,0.231,0.148,0.163,0.222,0.297,0.247,0.258
452,0.187,0.215,0.25,0.214,0.148,0.231,0.148,0.162,0.221,0.296,0.246,0.257
453,0.186,0.214,0.249,0.213,0.145,0.231,0.148,0.162,0.22,0.296,0.246,0.256
454,0.185,0.212,0.247,0.213,0.141,0.23,0.148,0.161,0.219,0.295,0.245,0.255
455,0.183,0.21,0.246,0.212,0.137,0.23,0.148,0.16,0.219,0.294,0.244,0.254
456,0.182,0.209,0.244,0.211,0.134,0.229,0.148,0.16,0.218,0.293,0.243,0.254
457,0.18,0.207,0.242,0.21,0.131,0.229,0.148,0.159,0.217,0.292,0.242,0.253
458,0.179,0.206,0.241,0.209,0.129,0.229,0.148,0.159,0.217,0.292,0.241,0.252
459,0.178,0.204,0.239,0.209,0.126,0.229,0.148,0.158,0.216,0.291,0.241,0.251
460,0.177,0.203,0.238,0.208,0.124,0.229,0.148,0.158,0.215,0.29,0.24,0.25
461,0.176,0.202,0.237,0.208,0.123,0.228,0.148,0.157,0.215,0.289,0.239,0.249
462,0.175,0.201,0.235,0.208,0.122,0.228,0.148,0.157,0.214,0.289,0.238,0.249
463,0.174,0.2,0.234,0.207,0.121,0.228,0.148,0.156,0.213,0.288,0.238,0.248
464,0.173,0.199,0.233,0.207,0.121,0.228,0.148,0.156,0.213,0.287,0.237,0.247
465,0.173,0.198,0.232,0.207,0.12,0.228,0.148,0.156,0.212,0.286,0.236,0.246
466,0.172,0.197,0.232,0.207,0.12,0.228,0.147,0.155,0.211,0.286,0.235,0.245
467,0.171,0.196,0.231,0.207,0.12,0.227,0.147,0.155,0.21,0.285,0.234,0.245
468,0.171,0.196,0.231,0.207,0.12,0.227,0.147,0.155,0.21,0.284,0.234,0.244
469,0.17,0.195,0.23,0.207,0.12,0.227,0.147,0.154,0.209,0.284,0.233,0.243
470,0.169,0.194,0.23,0.207,0.12,0.227,0.147,0.154,0.208,0.283,0.232,0.242
471,0.169,0.193,0.229,0.208,0.121,0.226,0.147,0.154,0.207,0.282,0.231,0.242
472,0.169,0.192,0.229,0.208,0.121,0.226,0.147,0.154,0.206,0.281,0.231,0.241
473,0.168,0.192,0.229,0.208,0.121,0.225,0.146,0.153,0.205,0.281,0.23,0.24
474,0.168,0.191,0.228,0.209,0.121,0.225,0.146,0.153,0.204,0.28,0.229,0.239
475,0.167,0.19,0.228,0.209,0.121,0.225,0.146,0.153,0.203,0.279,0.228,0.239
476,0.167,0.189,0.228,0.209,0.121,0.224,0.146,0.152,0.202,0.278,0.228,0.238
477,0.166,0.188,0.227,0.209,0.121,0.224,0.145,0.152,0.201,0.278,0.227,0.237
478,0.166,0.187,0.227,0.209,0.121,0.223,0.145,0.152,0.201,0.277,0.226,0.236
479,0.165,0.186,0.227,0.21,0.12,0.223,0.145,0.152,0.2,0.276,0.226,0.236
