X,Y,Z
-2000,448.958977,5.454902312615175e-6
-2000,451.227491,-5.90678E-05
-2000,453.496004,8.173235252362747e-6
-2000,455.764518,0.000113011
-2000,458.033031,0.000318585
-2000,460.301545,-0.001004233
-2000,462.570059,-0.014053946
-2000,464.838572,-0.023126792
-2000,467.107086,0.036227341
-2000,469.375599,0.019786099180989808
-2000,471.644113,0.000608201
-2000,473.912627,0.000157617
-2000,476.18114,0.000293905
-2000,478.449654,0.000112198
-2000,480.718167,4.38793E-05
-2000,482.986681,9.9734E-05
-2000,485.255194,-7.19673E-05
-2000,487.523708,-0.000282441
-2000,489.792222,-0.000241998
-2000,492.060735,-0.000433919
-2000,494.329249,-0.000512603
-2000,496.597762,-0.0004873
-2000,498.866276,-0.000285196
-2000,501.13479,-0.000225269
-2000,503.403303,-0.000129567
-2000,505.671817,-7.18839E-05
-2000,507.94033,-7.4388E-05
-2000,510.208844,-5.15153E-05
-2000,512.477357,-8.9895E-05
-2000,514.745871,3.25585E-05
-2000,517.014385,-2.59487E-05
-2000,519.282898,-0.000178714
-2000,521.551412,-0.000177013
-2000,523.819925,-5.88584E-05
-2000,526.088439,-7.48995E-05
-2000,528.356953,-4.1494E-05
-2000,530.625466,-8.09E-06
-2000,532.89398,3.0674627475445367e-6
-2000,535.162493,3.22495E-05
-2000,537.431007,1.03416E-05
-2000,539.699521,6.30646E-05
-2000,541.968034,9.16164E-05
-2000,544.236548,9.17721E-05
-2000,546.505061,0.000105747
-2000,548.773575,5.92166E-05
-2000,551.042088,4.39196E-05
-2000,553.310602,2.01131E-05
-2000,555.579116,2.60322E-05
-2000,557.847629,4.53557E-05
-2000,560.116143,4.919043543658247e-6
-2000,562.384656,4.19563E-05
-2000,564.65317,-4.76895E-05
-2000,566.921684,-7.97499E-05
-2000,569.190197,1.52688E-05
-2000,571.458711,-7.3327E-05
-2000,573.727224,8.854389809230732e-7
-2000,575.995738,-3.37E-06
-2000,578.264251,-4.24478E-05
-2000,580.532765,-2.01214E-05
-2000,582.801279,-1.04053E-05
-2000,585.069792,-2.01E-06
-2000,587.338306,-1.18889E-05
-2000,589.606819,-1.05507E-05
-2000,591.875333,-1.79325E-05
-2000,594.143847,5.13757E-05
-2000,596.41236,-2.84095E-05
-2000,598.680874,4.95128E-05
-2000,600.949387,-1.93084E-05
-2000,603.217901,-1.1871E-05
-2000,605.486414,-5.45E-07
-2000,607.754928,-6.99E-06
-2000,610.023442,3.35463E-05
-2000,612.291955,8.59382789527003e-6
-2000,614.560469,-7.04E-06
-2000,616.828982,1.57597E-05
-2000,619.097496,2.43561E-05
-2000,621.36601,9.208567242766529e-7
-2000,623.634523,-2.53164E-05
-2000,625.903037,-1.0678E-05
-2000,628.17155,4.7061E-05
-2000,630.440064,1.32611E-05
-2000,632.708578,3.21728E-05
-2000,634.977091,-2.13527E-05
-2000,637.245605,5.01228E-05
-2000,639.514118,-5.16E-06
-2000,641.782632,2.95474E-05
-2000,644.051145,7.207769856531986e-7
-2000,646.319659,-4.02083E-05
-2000,648.588173,6.10479E-05
-2000,650.856686,5.86984E-05
-2000,653.1252,1.54483E-05
-2000,655.393713,3.96617E-05
-2000,657.662227,3.13204E-05
-2000,659.930741,-2.12E-06
-2000,662.199254,-1.43E-06
-2000,664.467768,1.7976762490379923e-7
-2000,666.736281,2.3132844460083764e-6
